Designator,Mid X,Mid Y,Rotation,Layer
C1,182.921,64.218,180,top
C14,179.446,53.718,-90,top
C15,183.958,57.999,0,top
C16,114.246,42.118,-90,top
C17,163.246,56.018,180,top
C18,128.946,28.518,0,top
C19,179.846,58.718,0,top
C20,163.246,54.918,180,top
C21,165.546,59.718,180,top
C22,179.846,57.518,0,top
C23,165.546,60.718,180,top
C24,165.046,49.468,-90,top
C25,177.646,50.898,-90,top
C26,168.346,62.518,90,top
C27,175.266,63.918,0,top
C28,167.146,62.518,90,top
C29,115.915189,38.698,-90,top
C3,193.864,60.478,90,top
C30,153.097,57.364,90,top
C31,156.145,50.633,-90,top
C32,203.348,33.596386,0,top
C33,185.848,25.296386,-90,top
C34,185.848,23.296386,90.0,top
C6,131.046,53.218,180,top
C7,142.546,58.468,-90,top
C8,123.546,47.218,90,top
D1,124.546,27.218,-90,top
D2,141.546,30.208,180,top
D5,175.5252,66.9906,180,top
F1,138.546,64.218,0,top
J8,116.946,18.318,0,top
Q1,139.046,60.718,0,top
Q2,134.246,62.118,90,top
Q3,143.336,62.968,90,top
R1,148.652,43.718,-90,top
R10,152.652,45.418,0,top
R11,153.736,66.888,180,top
R12,153.736,65.188,180,top
R13,130.246,61.018,180,top
R14,153.736,63.488,0,top
R15,154.446,69.418,-90,top
R16,155.546,57.718,90,top
R17,122.846,17.918,90,top
R18,179.846,56.318,0,top
R19,152.652,44.218,0,top
R2,149.152,45.418,180,top
R20,165.546,57.718,0,top
R21,165.546,58.718,0,top
R24,152.652,43.018,0,top
R25,152.652,41.818,0,top
R26,188.248,31.596386,-90,top
R27,186.648,31.596386,90,top
R28,185.048,32.596386,90,top
R29,183.448,32.596386,-90,top
R30,182.348,24.096386,90,top
R31,170.748,11.096386,-90,top
R5,134.9585,53.218,0,top
R6,123.546,43.218,-90,top
R7,150.902,44.918,90,top
R8,150.902,42.818,90,top
R9,149.602,41.218,90,top
S1,160.046,63.218,-90,top
U1,148.746,54.918,-90,top
U12,124.046,22.218,-90,top
U13,169.226,67.778,90,top
U4,198.248,31.696386,-90,top
U6,117.446,26.918,180,top
U7,159.546,47.718,0,top
U8,172.546,56.718,90,top
Y1,183.446,55.068,180,top
